station_id,visit_date,visit_time,visit_type,campaign_opened,observers,camera_unit_id,camera_working,camera_datetime_observed,clock_adjusted,camera_datetime_after,card_changed,batteries_changed,moved,lat,lon,height_m,bearing_deg,detection_distance_m,notes,source_sheet,data_flags
CT14,2025-06-04,,revision,primavera_2025,,,,,,,yes,yes,,-39.44709,-71.73836,2,,,"Se subió a 2 m aprox sobre el nivel del suelo | Cámara instalada muy baja en sendero a la cascada de la felicidad. Luego de unos días de la instalación, creció la vegetación herbácea tapando la cámara y llenando la memoria con fotos de plantas.",Registro de revisión_Otoño 2025,"date_ambiguous_source: '4/6/2025' read d/m/y as 2025-06-04; height_m approximate, from field remark"
CT14,2026-01-08,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,"date_swapped: Excel stored 2026-08-01 (locale m/d/y misparse), read as 2026-01-08"
CT14,2026-05-14,13:53,revision,,,,,,,,yes,yes,,-39.44709,-71.73836,,,,Configuración previa: modo Video; se modifico a Hybrid,Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT15,2025-01-09,13:09,instalacion,otono_2025,SC,,,,,,,,,,,,,,"Sendero, costado camino Puma. Coihue, lenga, ribes, chusquea, acaena ovalifolia",Registro de instalacion,
CT15,2025-06-09,,revision,primavera_2025,,,,,,,yes,yes,,-39.45142,-71.74398,2,,,Se subió a 2 m aprox sobre el nivel del suelo | Fecha y hora desconfigurada | Pantalla defectuosa (líneas horizontales de colores en la parte superior),Registro de revisión_Otoño 2025,"date_ambiguous_source: '9/6/2025' read d/m/y as 2025-06-09; clock_state from field remark; height_m approximate, from field remark"
CT15,2025-11-25,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,
CT15,2026-05-14,10:56,revision,,,,,,,,yes,yes,,-39.45142,-71.74398,,,,,Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT16,2025-01-09,14:08,instalacion,otono_2025,SC,,,,,,,,,,,,,,"Final de sendero, costado camino Puma. Coihue, chusquea, myrceugenia, drimys, maytenus disticha",Registro de instalacion,
CT16,2025-06-09,,revision,primavera_2025,,,,,,,yes,yes,yes,-39.45524,-71.74502,2,,,"Se subió a 2 m aprox sobre el nivel del suelo | Fecha y hora desconfigurada | Se movió a un punto cercano, al final del sendero",Registro de revisión_Otoño 2025,"date_ambiguous_source: '9/6/2025' read d/m/y as 2025-06-09; clock_state from field remark; height_m approximate, from field remark"
CT16,2025-11-25,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,
CT16,2026-05-14,10:35,revision,,,,,,,,yes,yes,,-39.45524,-71.74502,,,,,Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT17,2025-01-16,16:53,instalacion,otono_2025,SC,,,,,,,,,,,,,,"Coihue, Chusquea, Myrceugenia, Drimys, Maytenus disticha",Registro de instalacion,
CT17,2025-06-06,,revision,primavera_2025,,,,,,,yes,yes,yes,-39.45180,-71.73987,2,,,"Se movió la cámara a un árbol cercano, adyacente al sendero de la cascada de la felicidad | Se instaló a 2 m aprox del nivel del suelo",Registro de revisión_Otoño 2025,"revision date corrected 2025-04-06 -> 2025-06-06 (confirmed by Felipe 2026-08-11): every other otono_2025 revision falls 14 May - 11 Jun 2025; height_m approximate, from field remark"
CT17,2026-01-08,,revision,otono_2026,,,,,,,,,,,,,,,,Registro de revisión_Primavera,"date_swapped: Excel stored 2026-08-01 (locale m/d/y misparse), read as 2026-01-08"
CT17,2026-05-14,13:11,revision,,,,,,,,yes,yes,yes,-39.45180,-71.73987,,,,"Tronco que sostenía la CT se cayó, CT en buen estado, se movio la CT aproximadamente 4 mts.",Registro de revisión Mayo 2026,"all cameras raised to 1.5-2 m at this visit; exact height per station not recorded; clock set back 1 h at this visit for horario de invierno (sheet note, applies to every station). Chile left summer time 2026-04-04, so frames between that date and this visit read 1 h AHEAD of local time"
CT18,2025-01-28,16:00,instalacion,otono_2025,SC,,,,,,,,,,,,,,"Coihue, mañío, sendero La Felicidad",Registro de instalacion,
