campaign,station,deployment,segment,n_images,camera_start,camera_end,reason,candidate_frames,person_vehicle_frames,mmdd_mismatch,mismatch_at_midnight,mismatch_verdict,coherent,recoverable_by_anchor
otono_2025,CT19,CT19,66,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2025,CT19,CT19,67,7,2017-01-01 00:00:00,2017-01-01 00:00:48,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2026,CT18,CT18,0,10,2025-11-19 06:41:40,2025-11-28 15:42:55,no_anchor_in_segment,3,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2026,CT18,CT18,1,32,2017-01-01 00:00:00,2017-01-19 07:53:24,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2026,CT18,CT18,2,40,2017-01-01 00:00:00,2017-01-13 23:20:46,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2026,CT18,CT18,3,3,2017-01-01 00:00:00,2017-01-01 00:00:02,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
otono_2026,CT18,CT18,4,227,2017-01-01 00:00:00,2017-04-02 19:48:32,filename_mmdd_disagrees_with_datetime,6,4,166,0,GENUINE (166 of 166 away from midnight),False,NO - clock incoherent
primavera_2025,CT08,CT08,0,2434,2025-08-13 08:54:58,2026-01-13 12:46:12,ordering_unrecoverable,8,5,7,5,GENUINE (2 of 7 away from midnight),False,NO - clock incoherent
primavera_2025,CT16,CT16,0,6,2025-06-09 16:19:27,2025-07-04 12:15:11,filename_mmdd_disagrees_with_datetime,4,2,6,0,GENUINE (6 of 6 away from midnight),False,NO - clock incoherent
primavera_2025,CT16,CT16,1,3,2017-01-01 00:00:00,2017-01-01 00:00:02,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
primavera_2025,CT16,CT16,2,3,2017-01-01 00:00:00,2017-01-01 00:00:02,no_anchor_in_segment,2,0,0,0,no mismatch in this segment,True,needs field-notebook date
primavera_2025,CT16,CT16,3,54,2017-01-01 00:00:00,2017-05-10 23:33:24,filename_mmdd_disagrees_with_datetime,6,4,51,0,GENUINE (51 of 51 away from midnight),False,NO - clock incoherent
primavera_2025,CT17,CT17,0,5,2025-06-04 14:58:25,2025-08-17 08:43:56,no_anchor_in_segment,5,3,0,0,no mismatch in this segment,True,YES - technician frames present
primavera_2025,CT17,CT17,1,2,2017-01-01 00:00:00,2017-01-01 00:00:01,no_anchor_in_segment,4,2,0,0,no mismatch in this segment,True,YES - technician frames present
primavera_2025,CT18,CT18,0,67,2025-06-10 15:50:57,2025-09-12 03:53:51,filename_mmdd_disagrees_with_datetime,29,29,67,0,GENUINE (67 of 67 away from midnight),False,NO - clock incoherent
primavera_2025,CT23,CT23,0,1735,2025-06-10 12:24:17,2026-01-11 12:58:46,ordering_unrecoverable,5,3,2,2,BOUNDARY ARTEFACT (all mismatches <=120s from midnight),False,YES - technician frames present
